Hospital Name,Rural Versus Urban,Zip Code,Number of Beds,Outpatient Revenue,Inpatient Revenue,Net Income,Medicaid Charges
ST. FRANCIS HOSPITAL,Urban,11576,364.0,1391835353.0,2196064542.0,213723000.0,164103898.0
STONY BROOK UNIVERSITY HOSPITAL,Urban,11794-9112,725.0,2079121324.0,3073767406.0,16340205.0,947355057.0
MERCY MEDICAL CENTER,Urban,11570,299.0,393980596.0,660038324.0,-12117000.0,253516588.0
EASTERN LONG ISLAND HOSPITAL,Urban,11944,67.0,35867885.0,52681664.0,-2891659.0,34450256.0
SOUTH NASSAU COMMUNITIES HOSPITAL,Urban,11572,318.0,1359301847.0,1625736155.0,-14938519.0,502299422.0
ST. JOSEPH HOSPITAL,Urban,11714,203.0,289711324.0,339798412.0,-9989000.0,71834776.0
SOUTHSIDE HOSPITAL,Urban,11706,284.0,559009793.0,1580546881.0,-23406004.0,444096920.0
HUNTINGTON HOSPITAL,Urban,11743,259.0,439077366.0,883600328.0,53039649.0,177366678.0
NORTH SHORE UNIVERSITY HOSPITAL,Urban,10030,782.0,2524812426.0,5646461290.0,297907957.0,1037313793.0
PECONIC BAY MEDICAL CENTER,Urban,11901,124.0,264856672.0,515452545.0,-11449007.0,116307152.0
GLEN COVE HOSPITAL,Urban,11542,54.0,170353436.0,359835223.0,-20262500.0,65044662.0
MATHER HOSPITAL,Urban,11777,195.0,627640650.0,769338167.0,4560119.0,124119754.0
GOOD SAMARITAN HOSPITAL,Urban,11795,437.0,1373892717.0,1791366383.0,56163000.0,522925508.0
PLAINVIEW HOSPITAL,Urban,11803,156.0,268370263.0,434953530.0,-6714424.0,56649949.0
ST. CATHERINE OF SIENA MEDICAL CENTE,Urban,11787,254.0,362679636.0,732645111.0,-9752000.0,120214032.0
ST CHARLES HOSPITAL,Urban,11777,167.0,363740308.0,545233546.0,-12219000.0,151115439.0
BROOKHAVEN MEMORIAL HOSPITAL DBA LI,Urban,11772,209.0,638790974.0,796918263.0,326162.0,260201676.0
NASSAU UNIVERSITY MEDICAL CENTER,Urban,11554,372.0,338348853.0,926433425.0,-27812329.0,490485674.0
